ds,yhat,yhat_lower,yhat_upper
2015-01-01,18760.750245424697,14187.770370164946,23238.200448619362
2015-02-01,18226.949207908598,13418.654326716525,22401.592350108964
2015-03-01,15865.347911820634,11217.516038121592,20291.703519387276
2015-04-01,15330.40908861933,10788.733807742628,19743.966993071786
2015-05-01,14131.470648119988,9740.26573144121,19036.77782045337
2015-06-01,6871.97491398766,2395.3520450427923,11404.737268794092
2015-07-01,7728.730105156701,2923.5810915524144,12251.621885359733
2015-08-01,11235.054840989056,6575.680621988596,15772.586919732847
2015-09-01,1655.7931928774933,-3011.1069739398977,6153.393051602168
2015-10-01,-2053.83531593887,-6526.1771647049745,2797.6100046400825
2015-12-01,3007.4676812211005,-1790.9203073924891,7855.475979739229
2016-01-01,21808.435351045082,17109.388370953042,26422.210702627115
2016-02-01,14013.641224311383,9736.11126580816,18428.909314202552
2016-03-01,14466.47574455188,10113.306652317788,18985.075047022932
2016-04-01,11605.485724891852,6853.232526329474,16390.157011503914
2016-05-01,12323.19127353421,7936.279278695722,16724.921649898537
2016-06-01,9867.779715124127,5075.442686687778,14272.610995145005
2016-07-01,13427.879039019339,8903.890509671632,17990.79193349465
2016-08-01,17240.61988311629,12573.54296219172,21952.300839063104
2016-09-01,4345.550653873492,-832.1783762498753,8952.755138585237
2016-10-01,2944.706652279544,-1543.7542874365408,7593.449841293425
2016-11-01,3414.724823739866,-1367.0464325997034,7867.908450534441
2017-01-01,23445.42931622771,18645.82789605886,28020.584289994484
2017-02-01,37914.1024995865,33316.717185752444,42588.24791106174
2017-03-01,18584.866884180963,14327.05094715575,23199.576206730664
2017-04-01,16590.10446947395,12142.033131155456,21121.108295753944
2017-05-01,16744.240323004306,12150.851003574866,21113.05551428823
2017-06-01,12702.519074220038,8407.799262339675,17357.388968599927
2017-07-01,15336.345180034023,10622.668742728923,19670.507261725164
2017-08-01,19013.165575456464,14470.30816005499,23617.860277910022
2017-09-01,7210.703808965918,2317.162183704717,11832.672123118358
2017-10-01,5034.167736969668,351.0752699033977,9828.139175961254
2017-11-01,4817.908102637083,50.40004265418191,9357.357837411866
2017-12-01,-3660.6652951049527,-8426.27641787976,756.2356238354938
2018-01-01,26863.919533435237,22290.015636798496,31464.831388331677
2018-02-01,33753.22058211964,29061.739641683824,38437.64457103691
2018-03-01,22823.99928708387,18499.89840076226,27562.697714923943
2018-04-01,21605.10102589809,17185.984583209178,26230.341729672342
2018-05-01,21120.011918944474,16602.669580068152,25625.61722894535
2018-06-01,15476.063713694082,10814.747558012234,19691.896502206313
2018-07-01,17208.087748651214,12690.050316274348,22003.456177788285
2018-08-01,20782.694678908294,16245.772978973333,25112.433351058815
2018-09-01,10085.832576309882,5781.992307056821,14739.573098102146
2018-10-01,7139.594827214649,2695.688811807632,11497.658155141198
2018-11-01,6311.269450024664,2026.016220805827,11108.560885756675
2018-12-01,5338.7110227786525,187.8202504325852,9636.327879219009
2018-12-31,29783.35435347503,25132.800383699825,34450.565544391495
2019-01-31,1264.8832779684726,-3176.9495527286567,5708.345279326631
2019-02-28,34645.37824943924,30041.140253525034,39374.474279952155
